"Artigo";"BW";"BP";"CN";"CU";"CO";"CP";"DI";"DU";"EA";"FE";"TO";"MF";"MI";"MT";"PP";"SU";"TR";"TP"
"18507-73-14898-1-10-20211220.pdf";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;1
"18508-73-14899-1-10-20211220.pdf";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;4
"18509-73-14900-1-10-20211220.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0
"18510-73-14901-1-10-20211220.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"18511-73-14902-1-10-20211220.pdf";0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6
"18512-73-14903-1-10-20211220.pdf";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7
"18513-73-14904-1-10-20211220.pdf";0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;5
"18514-73-14905-1-10-20211220.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
"18515-73-14906-1-10-20211220.pdf";1;0;0;0;2;0;0;0;0;0;0;0;0;0;5;0;0;0
"18516-73-14907-1-10-20211220.pdf";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"18517-73-14908-1-10-20211220.pdf";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1
"18518-73-14909-1-10-20211220.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0
"18519-73-14910-1-10-20211220.pdf";0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;7;0;2
"18520-73-14911-1-10-20211220.pdf";0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;1
"18521-73-14912-1-10-20211220.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;8
"18522-73-14913-1-10-20211220.pdf";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4
"18523-73-14914-1-10-20211220.pdf";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
"18524-73-14915-1-10-20211220.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
"18525-73-14916-1-10-20211220.pdf";3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"18526-73-14917-1-10-20211220.pdf";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;3
"18527-73-14918-1-10-20211220.pdf";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2
