"Artigo";"AM";"DP";"DN";"FR";"GA";"IC";"ME";"NE";"NI";"TE";"VR"
"14053-73-11044-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;7;0
"14054-73-11045-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;0;0
"14056-73-11047-1-10-20210301.pdf";7;0;1;2;0;0;7;0;0;13;0
"14057-73-11048-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;5;0
"14058-73-11049-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;8;0
"14059-73-11050-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;4;0
"14060-73-11051-1-10-20210301.pdf";0;1;0;0;0;0;1;0;0;6;0
"14061-73-11052-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;2;0
"14062-73-11053-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;3;0
"14068-73-11059-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;18;0
"14072-73-11063-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;10;0
"14073-73-11064-1-10-20210301.pdf";0;0;0;0;0;0;1;0;0;4;0
"14077-73-11068-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;5;0
"14078-73-11069-1-10-20210301.pdf";1;0;0;0;0;0;0;0;0;21;0
"14079-73-11070-1-10-20210301.pdf";0;0;0;0;0;0;0;0;0;13;0
"14080-73-11071-1-10-20210301.pdf";0;1;0;2;0;0;6;0;0;4;0
