evento;ano;ocorrencias;termo;tipo
WSCAD;2000;3;mips;MET
WSCAD;2000;2;eficiência ou acurácia;MET
WSCAD;2000;3;eficiência ou acurácia;MET
WSCAD;2000;2;eficiência ou acurácia;MET
WSCAD;2000;1;eficiência ou acurácia;MET
WSCAD;2000;1;eficiência ou acurácia;MET
WSCAD;2000;1;eficiência ou acurácia;MET
WSCAD;2000;2;speedup;MET
WSCAD;2000;1;bandwidth;MET
WSCAD;2000;2;número de iterações;EST
WSCAD;2000;1;speedup;MET
WSCAD;2000;2;média;EST
WSCAD;2000;1;média;EST
WSCAD;2000;9;teste ou experimento;EST
WSCAD;2000;2;teste ou experimento;EST
WSCAD;2000;2;teste ou experimento;EST
WSCAD;2000;6;teste ou experimento;EST
WSCAD;2000;1;confiabilidade;MET
WSCAD;2000;1;idle;MET
WSCAD;2000;1;availability or disponibilidade;MET
WSCAD;2000;2;availability or disponibilidade;MET
WSCAD;2000;1;availability or disponibilidade;MET
WSCAD;2000;1;availability or disponibilidade;MET
WSCAD;2000;6;availability or disponibilidade;MET
WSCAD;2001;1;availability or disponibilidade;MET
WSCAD;2001;10;média;EST
WSCAD;2001;2;média;EST
WSCAD;2001;2;média;EST
WSCAD;2001;1;média;EST
WSCAD;2001;1;média;EST
WSCAD;2001;20;média;EST
WSCAD;2001;8;média;EST
WSCAD;2001;9;média;EST
WSCAD;2001;1;speedup;MET
WSCAD;2001;1;availability or disponibilidade;MET
WSCAD;2001;1;mips;MET
WSCAD;2001;1;availability or disponibilidade;MET
WSCAD;2001;5;número de iterações;EST
WSCAD;2001;2;availability or disponibilidade;MET
WSCAD;2001;1;speedup;MET
WSCAD;2001;2;availability or disponibilidade;MET
WSCAD;2001;3;availability or disponibilidade;MET
WSCAD;2001;5;média;EST
WSCAD;2001;21;teste ou experimento;EST
WSCAD;2001;1;teste ou experimento;EST
WSCAD;2001;9;teste ou experimento;EST
WSCAD;2001;4;teste ou experimento;EST
WSCAD;2001;2;teste ou experimento;EST
WSCAD;2001;2;teste ou experimento;EST
WSCAD;2001;5;teste ou experimento;EST
WSCAD;2001;32;teste ou experimento;EST
WSCAD;2001;1;teste ou experimento;EST
WSCAD;2001;7;média;EST
WSCAD;2001;1;teste ou experimento;EST
WSCAD;2001;1;p-valor;TST
WSCAD;2001;4;teste ou experimento;EST
WSCAD;2001;2;teste ou experimento;EST
WSCAD;2001;1;teste ou experimento;EST
WSCAD;2001;3;teste ou experimento;EST
WSCAD;2001;1;confiabilidade;MET
WSCAD;2001;1;número de execuções;EST
WSCAD;2001;1;confiabilidade;MET
WSCAD;2001;1;teste ou experimento;EST
WSCAD;2001;23;teste ou experimento;EST
WSCAD;2001;1;speedup;MET
WSCAD;2001;4;eficiência ou acurácia;MET
WSCAD;2001;1;eficiência ou acurácia;MET
WSCAD;2001;1;eficiência ou acurácia;MET
WSCAD;2001;2;amostra;EST
WSCAD;2001;4;amostra;EST
WSCAD;2001;1;amostra;EST
WSCAD;2001;6;eficiência ou acurácia;MET
WSCAD;2001;1;eficiência ou acurácia;MET
WSCAD;2001;2;eficiência ou acurácia;MET
WSCAD;2001;1;eficiência ou acurácia;MET
WSCAD;2001;2;availability or disponibilidade;MET
WSCAD;2001;2;bandwidth;MET
WSCAD;2001;4;bandwidth;MET
WSCAD;2001;1;bandwidth;MET
WSCAD;2001;1;variância;EST
WSCAD;2001;4;speedup;MET
WSCAD;2001;2;amostra;EST
WSCAD;2001;2;eficiência ou acurácia;MET
WSCAD;2001;1;speedup;MET
WSCAD;2001;2;eficiência ou acurácia;MET
WSCAD;2001;1;desvio padrão;EST
WSCAD;2001;10;speedup;MET
WSCAD;2001;2;speedup;MET
WSCAD;2002;4;teste ou experimento;EST
WSCAD;2002;8;speedup;MET
WSCAD;2002;5;teste ou experimento;EST
WSCAD;2002;10;speedup;MET
WSCAD;2002;1;mips;MET
WSCAD;2002;3;teste ou experimento;EST
WSCAD;2002;2;teste ou experimento;EST
WSCAD;2002;1;teste ou experimento;EST
WSCAD;2002;3;teste ou experimento;EST
WSCAD;2002;16;teste ou experimento;EST
WSCAD;2002;1;confiabilidade;MET
WSCAD;2002;4;número de iterações;EST
WSCAD;2002;1;número de execuções;EST
WSCAD;2002;2;confiabilidade;MET
WSCAD;2002;1;speedup;MET
WSCAD;2002;5;speedup;MET
WSCAD;2002;1;speedup;MET
WSCAD;2002;1;número de iterações;EST
WSCAD;2002;13;eficiência ou acurácia;MET
WSCAD;2002;2;eficiência ou acurácia;MET
WSCAD;2002;2;eficiência ou acurácia;MET
WSCAD;2002;4;eficiência ou acurácia;MET
WSCAD;2002;3;eficiência ou acurácia;MET
WSCAD;2002;1;eficiência ou acurácia;MET
WSCAD;2002;1;eficiência ou acurácia;MET
WSCAD;2002;1;eficiência ou acurácia;MET
WSCAD;2002;1;eficiência ou acurácia;MET
WSCAD;2002;1;eficiência ou acurácia;MET
WSCAD;2002;4;eficiência ou acurácia;MET
WSCAD;2002;1;eficiência ou acurácia;MET
WSCAD;2002;1;availability or disponibilidade;MET
WSCAD;2002;3;availability or disponibilidade;MET
WSCAD;2002;1;availability or disponibilidade;MET
WSCAD;2002;14;availability or disponibilidade;MET
WSCAD;2002;1;availability or disponibilidade;MET
WSCAD;2002;2;bandwidth;MET
WSCAD;2002;3;teste ou experimento;EST
WSCAD;2002;3;mips;MET
WSCAD;2002;3;teste ou experimento;EST
WSCAD;2002;8;teste ou experimento;EST
WSCAD;2002;21;teste ou experimento;EST
WSCAD;2002;4;teste ou experimento;EST
WSCAD;2002;1;teste ou experimento;EST
WSCAD;2002;10;teste ou experimento;EST
WSCAD;2002;1;confiabilidade;MET
WSCAD;2002;2;confiabilidade;MET
WSCAD;2002;18;teste ou experimento;EST
WSCAD;2002;2;teste ou experimento;EST
WSCAD;2002;6;teste ou experimento;EST
WSCAD;2002;2;teste ou experimento;EST
WSCAD;2002;12;teste ou experimento;EST
WSCAD;2002;1;teste ou experimento;EST
WSCAD;2002;1;mips;MET
WSCAD;2002;3;speedup;MET
WSCAD;2002;3;média;EST
WSCAD;2002;1;média;EST
WSCAD;2002;1;média;EST
WSCAD;2002;2;média;EST
WSCAD;2002;1;desvio padrão;EST
WSCAD;2002;1;desvio padrão;EST
WSCAD;2002;3;média;EST
WSCAD;2002;1;média;EST
WSCAD;2002;4;média;EST
WSCAD;2002;1;média;EST
WSCAD;2002;14;média;EST
WSCAD;2002;2;amostra;EST
WSCAD;2003;2;availability or disponibilidade;MET
WSCAD;2003;11;teste ou experimento;EST
WSCAD;2003;2;média;EST
WSCAD;2003;2;média;EST
WSCAD;2003;7;média;EST
WSCAD;2003;1;média;EST
WSCAD;2003;1;teste ou experimento;EST
WSCAD;2003;1;availability or disponibilidade;MET
WSCAD;2003;1;availability or disponibilidade;MET
WSCAD;2003;2;availability or disponibilidade;MET
WSCAD;2003;1;availability or disponibilidade;MET
WSCAD;2003;4;availability or disponibilidade;MET
WSCAD;2003;1;availability or disponibilidade;MET
WSCAD;2003;2;teste ou experimento;EST
WSCAD;2003;1;teste ou experimento;EST
WSCAD;2003;41;teste ou experimento;EST
WSCAD;2003;2;teste ou experimento;EST
WSCAD;2003;4;teste ou experimento;EST
WSCAD;2003;1;teste ou experimento;EST
WSCAD;2003;13;teste ou experimento;EST
WSCAD;2003;1;média;EST
WSCAD;2003;5;número de iterações;EST
WSCAD;2003;1;média;EST
WSCAD;2003;1;teste ou experimento;EST
WSCAD;2003;1;teste ou experimento;EST
WSCAD;2003;1;teste ou experimento;EST
WSCAD;2003;1;availability or disponibilidade;MET
WSCAD;2003;4;teste ou experimento;EST
WSCAD;2003;7;availability or disponibilidade;MET
WSCAD;2003;1;confiabilidade;MET
WSCAD;2003;1;confiabilidade;MET
WSCAD;2003;1;confiabilidade;MET
WSCAD;2003;1;confiabilidade;MET
WSCAD;2003;3;teste ou experimento;EST
WSCAD;2003;1;availability or disponibilidade;MET
WSCAD;2003;1;teste ou experimento;EST
WSCAD;2003;1;availability or disponibilidade;MET
WSCAD;2003;1;teste ou experimento;EST
WSCAD;2003;1;bandwidth;MET
WSCAD;2003;1;bandwidth;MET
WSCAD;2003;1;mflops;MET
WSCAD;2003;1;mflops;MET
WSCAD;2003;1;eficiência ou acurácia;MET
WSCAD;2003;1;amostra;EST
WSCAD;2003;2;desvio padrão;EST
WSCAD;2003;9;desvio padrão;EST
WSCAD;2003;6;eficiência ou acurácia;MET
WSCAD;2003;2;eficiência ou acurácia;MET
WSCAD;2003;2;eficiência ou acurácia;MET
WSCAD;2003;3;eficiência ou acurácia;MET
WSCAD;2003;7;eficiência ou acurácia;MET
WSCAD;2003;1;eficiência ou acurácia;MET
WSCAD;2003;3;eficiência ou acurácia;MET
WSCAD;2003;2;mflops;MET
WSCAD;2003;1;desvio padrão;EST
WSCAD;2003;6;média;EST
WSCAD;2003;2;média;EST
WSCAD;2003;3;média;EST
WSCAD;2003;2;média;EST
WSCAD;2003;12;média;EST
WSCAD;2003;1;mips;MET
WSCAD;2003;4;mips;MET
WSCAD;2003;48;teste ou experimento;EST
WSCAD;2003;2;amostra;EST
WSCAD;2003;11;teste ou experimento;EST
WSCAD;2003;16;teste ou experimento;EST
WSCAD;2003;12;teste ou experimento;EST
WSCAD;2003;1;confiabilidade;MET
WSCAD;2003;1;speedup;MET
WSCAD;2003;2;teste ou experimento;EST
WSCAD;2003;1;número de execuções;EST
WSCAD;2003;1;speedup;MET
WSCAD;2003;3;speedup;MET
WSCAD;2003;1;speedup;MET
WSCAD;2003;1;speedup;MET
WSCAD;2003;9;speedup;MET
WSCAD;2003;4;speedup;MET
WSCAD;2003;1;número de iterações;EST
WSCAD;2004;1;eficiência ou acurácia;MET
WSCAD;2004;2;eficiência ou acurácia;MET
WSCAD;2004;3;eficiência ou acurácia;MET
WSCAD;2004;1;eficiência ou acurácia;MET
WSCAD;2004;3;eficiência ou acurácia;MET
WSCAD;2004;1;speedup;MET
WSCAD;2004;1;desvio padrão;EST
WSCAD;2004;4;eficiência ou acurácia;MET
WSCAD;2004;1;speedup;MET
WSCAD;2004;2;speedup;MET
WSCAD;2004;1;desvio padrão;EST
WSCAD;2004;1;eficiência ou acurácia;MET
WSCAD;2004;4;eficiência ou acurácia;MET
WSCAD;2004;1;desvio padrão;EST
